32,128,128,128,64,512,128,64,tanh,tanh,softmax,softmax,sigmoid,relu,tanh,softmax,adam,binary_crossentropy,0.09537337720394135
64,8,8,128,16,256,64,128,sigmoid,softmax,sigmoid,relu,tanh,sigmoid,sigmoid,sigmoid,adam,binary_crossentropy,0.35093924403190613
512,8,8,512,64,8,32,16,tanh,tanh,softmax,tanh,softmax,relu,tanh,sigmoid,rmsprop,binary_crossentropy,0.039076995104551315
16,32,8,512,256,512,128,256,softmax,softmax,sigmoid,softmax,tanh,sigmoid,relu,sigmoid,rmsprop,categorical_crossentropy,0.35093924403190613
32,256,32,128,512,128,128,16,tanh,relu,softmax,sigmoid,sigmoid,sigmoid,relu,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
64,64,16,64,8,256,16,256,sigmoid,sigmoid,relu,sigmoid,tanh,softmax,relu,softmax,adam,binary_crossentropy,0.4495013952255249
8,256,256,128,8,256,512,64,tanh,sigmoid,sigmoid,sigmoid,sigmoid,softmax,tanh,tanh,adam,categorical_crossentropy,0.4495013952255249
512,128,256,256,128,512,512,64,tanh,softmax,sigmoid,sigmoid,relu,sigmoid,relu,relu,rmsprop,categorical_crossentropy,0.4652133584022522
16,128,128,512,64,16,32,256,sigmoid,relu,relu,relu,sigmoid,tanh,relu,relu,sgd,categorical_crossentropy,0.35093924403190613
64,64,16,8,64,16,32,64,tanh,softmax,tanh,tanh,tanh,tanh,sigmoid,relu,rmsprop,binary_crossentropy,0.523481011390686
64,128,8,256,32,512,128,32,relu,tanh,softmax,relu,tanh,relu,relu,softmax,rmsprop,binary_crossentropy,0.35093924403190613
128,16,64,8,32,256,256,8,softmax,tanh,relu,relu,softmax,softmax,relu,relu,sgd,categorical_crossentropy,0.35093924403190613
8,256,512,256,256,256,64,32,tanh,softmax,tanh,relu,sigmoid,sigmoid,sigmoid,softmax,rmsprop,binary_crossentropy,0.044816792011260986
8,128,512,32,512,64,16,128,relu,sigmoid,tanh,softmax,tanh,softmax,softmax,relu,adam,binary_crossentropy,0.4495013952255249
16,64,512,8,8,256,256,128,sigmoid,sigmoid,softmax,relu,softmax,relu,softmax,relu,rmsprop,binary_crossentropy,0.4495013952255249
128,512,128,128,16,16,32,16,relu,softmax,relu,relu,tanh,sigmoid,tanh,relu,rmsprop,binary_crossentropy,0.5023190975189209
512,32,512,512,256,64,256,256,tanh,sigmoid,sigmoid,relu,softmax,sigmoid,relu,softmax,adam,categorical_crossentropy,0.4495013952255249
256,64,16,16,128,32,8,8,relu,sigmoid,sigmoid,tanh,relu,relu,tanh,sigmoid,sgd,categorical_crossentropy,0.09537337720394135
512,64,64,256,128,512,32,8,tanh,softmax,sigmoid,softmax,relu,softmax,sigmoid,relu,adam,categorical_crossentropy,0.044816792011260986
512,8,64,64,128,32,8,16,tanh,tanh,relu,relu,softmax,sigmoid,softmax,relu,rmsprop,binary_crossentropy,0.0002898886741604656
8,256,128,64,32,16,256,512,softmax,sigmoid,relu,tanh,sigmoid,relu,relu,relu,rmsprop,categorical_crossentropy,0.35093924403190613
64,256,16,8,32,256,32,256,tanh,sigmoid,relu,sigmoid,tanh,relu,softmax,sigmoid,rmsprop,binary_crossentropy,0.5262638926506042
64,8,128,16,256,128,128,256,tanh,relu,relu,softmax,softmax,softmax,tanh,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
64,8,64,128,16,16,128,256,relu,tanh,softmax,sigmoid,sigmoid,relu,tanh,relu,adam,categorical_crossentropy,0.4930426776409149
512,64,16,128,512,16,8,128,relu,sigmoid,relu,sigmoid,softmax,sigmoid,sigmoid,sigmoid,adam,binary_crossentropy,0.35093924403190613
128,256,32,32,64,32,16,128,sigmoid,tanh,relu,sigmoid,tanh,softmax,softmax,tanh,rmsprop,binary_crossentropy,0.4495013952255249
16,512,32,512,128,128,512,512,tanh,tanh,softmax,softmax,sigmoid,relu,relu,sigmoid,sgd,categorical_crossentropy,0.35093924403190613
64,512,32,512,8,512,512,32,tanh,softmax,relu,tanh,relu,relu,sigmoid,sigmoid,sgd,binary_crossentropy,0.0006377550889737904
64,64,64,256,512,16,16,256,softmax,sigmoid,softmax,tanh,sigmoid,relu,tanh,softmax,sgd,binary_crossentropy,0.044816792011260986
16,32,128,8,16,16,64,8,relu,relu,tanh,relu,softmax,relu,relu,sigmoid,sgd,categorical_crossentropy,0.35093924403190613
8,256,16,16,32,64,16,32,softmax,relu,relu,relu,tanh,relu,sigmoid,relu,adam,binary_crossentropy,0.4495013952255249
128,512,32,512,512,128,256,64,tanh,tanh,tanh,tanh,tanh,relu,softmax,relu,sgd,categorical_crossentropy,0.044816792011260986
256,16,128,8,256,16,256,512,relu,sigmoid,relu,sigmoid,softmax,softmax,tanh,sigmoid,adam,binary_crossentropy,0.35093924403190613
64,32,128,128,32,64,512,256,tanh,softmax,sigmoid,tanh,tanh,softmax,tanh,tanh,adam,categorical_crossentropy,0.35093924403190613
256,8,32,8,64,512,256,256,sigmoid,relu,tanh,sigmoid,softmax,relu,softmax,relu,rmsprop,categorical_crossentropy,0.4495013952255249
32,128,256,32,64,32,256,512,relu,sigmoid,relu,sigmoid,tanh,sigmoid,relu,tanh,sgd,binary_crossentropy,0.039076995104551315
64,64,256,64,256,64,128,128,tanh,sigmoid,tanh,sigmoid,sigmoid,relu,relu,relu,adam,categorical_crossentropy,0.5201762318611145
512,32,64,128,64,8,64,512,relu,tanh,softmax,softmax,softmax,softmax,softmax,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
8,256,8,256,8,512,256,512,softmax,relu,relu,relu,sigmoid,tanh,sigmoid,tanh,adam,binary_crossentropy,0.5047541856765747
8,8,16,64,8,128,16,256,softmax,softmax,softmax,tanh,relu,sigmoid,softmax,tanh,adam,categorical_crossentropy,0.4495013952255249
256,32,64,256,32,8,128,8,relu,relu,tanh,tanh,tanh,sigmoid,sigmoid,sigmoid,sgd,binary_crossentropy,0.039076995104551315
8,512,8,256,8,256,512,16,tanh,softmax,sigmoid,relu,tanh,relu,relu,sigmoid,adam,categorical_crossentropy,0.35093924403190613
64,64,32,16,32,128,32,16,tanh,tanh,tanh,softmax,tanh,sigmoid,softmax,sigmoid,adam,binary_crossentropy,0.044816792011260986
32,256,64,128,512,16,32,16,softmax,sigmoid,tanh,softmax,tanh,sigmoid,tanh,relu,rmsprop,categorical_crossentropy,0.4495013952255249
256,32,64,8,128,64,256,16,sigmoid,softmax,sigmoid,sigmoid,sigmoid,sigmoid,tanh,softmax,adam,categorical_crossentropy,0.4495013952255249
16,64,512,128,64,32,8,512,softmax,softmax,tanh,sigmoid,softmax,sigmoid,sigmoid,tanh,sgd,binary_crossentropy,0.4495013952255249
64,64,128,256,16,128,256,64,tanh,tanh,tanh,relu,relu,softmax,sigmoid,relu,adam,categorical_crossentropy,0.5281772017478943
16,8,32,32,256,64,512,8,relu,sigmoid,relu,softmax,softmax,sigmoid,relu,relu,adam,binary_crossentropy,0.044816792011260986
8,32,256,16,128,16,8,128,sigmoid,softmax,tanh,sigmoid,tanh,relu,sigmoid,sigmoid,sgd,binary_crossentropy,0.35093924403190613
128,512,512,8,32,128,8,16,sigmoid,tanh,tanh,softmax,relu,tanh,relu,tanh,sgd,binary_crossentropy,0.039076995104551315
512,512,8,16,128,16,32,64,tanh,tanh,relu,tanh,relu,relu,sigmoid,softmax,adam,binary_crossentropy,0.35093924403190613
8,16,64,64,32,256,128,32,sigmoid,tanh,relu,tanh,relu,tanh,tanh,relu,adam,categorical_crossentropy,0.5104359984397888
256,128,128,16,512,256,64,32,sigmoid,sigmoid,softmax,relu,sigmoid,softmax,tanh,softmax,rmsprop,binary_crossentropy,0.09537337720394135
32,64,128,8,64,32,32,32,relu,softmax,relu,relu,relu,softmax,relu,softmax,sgd,categorical_crossentropy,0.4495013952255249
512,8,16,256,64,8,512,512,tanh,sigmoid,softmax,tanh,sigmoid,relu,softmax,sigmoid,sgd,binary_crossentropy,0.4495013952255249
32,32,512,128,128,32,512,64,softmax,sigmoid,tanh,sigmoid,sigmoid,tanh,softmax,softmax,sgd,categorical_crossentropy,0.09537337720394135
256,256,8,256,64,8,8,256,relu,relu,tanh,sigmoid,tanh,tanh,sigmoid,sigmoid,sgd,binary_crossentropy,0.4495013952255249
32,64,256,256,128,256,64,128,relu,softmax,sigmoid,relu,relu,relu,tanh,tanh,sgd,binary_crossentropy,0.044816792011260986
32,32,256,512,8,64,64,16,softmax,softmax,softmax,tanh,sigmoid,tanh,softmax,sigmoid,rmsprop,binary_crossentropy,0.09537337720394135
128,8,64,32,8,64,128,256,softmax,relu,tanh,softmax,tanh,relu,relu,tanh,rmsprop,binary_crossentropy,0.35093924403190613
64,512,512,128,32,32,16,64,tanh,sigmoid,sigmoid,relu,sigmoid,sigmoid,tanh,tanh,adam,categorical_crossentropy,0.5051600337028503
8,256,512,128,32,16,128,128,sigmoid,tanh,softmax,tanh,sigmoid,tanh,tanh,sigmoid,adam,binary_crossentropy,0.09537337720394135
256,16,32,8,128,512,64,256,tanh,relu,relu,sigmoid,relu,softmax,relu,tanh,rmsprop,categorical_crossentropy,0.539482831954956
128,128,128,256,256,64,512,256,sigmoid,tanh,relu,sigmoid,relu,tanh,softmax,relu,rmsprop,categorical_crossentropy,0.4495013952255249
64,256,16,8,32,256,32,256,tanh,sigmoid,relu,sigmoid,tanh,relu,softmax,sigmoid,rmsprop,binary_crossentropy,0.044816792011260986
32,64,128,8,64,32,32,32,relu,softmax,relu,relu,relu,softmax,relu,softmax,sgd,categorical_crossentropy,0.4495013952255249
64,512,512,128,32,32,256,64,tanh,sigmoid,sigmoid,relu,sigmoid,sigmoid,tanh,tanh,adam,categorical_crossentropy,0.49559369683265686
8,256,8,256,8,512,16,512,softmax,relu,relu,relu,sigmoid,tanh,sigmoid,tanh,adam,binary_crossentropy,0.5237128734588623
8,256,512,256,256,256,64,32,tanh,softmax,tanh,relu,sigmoid,sigmoid,sigmoid,softmax,rmsprop,binary_crossentropy,0.09537337720394135
256,32,64,8,128,64,256,16,sigmoid,softmax,sigmoid,sigmoid,sigmoid,sigmoid,tanh,softmax,adam,categorical_crossentropy,0.039076995104551315
64,64,128,512,16,128,256,64,tanh,tanh,tanh,relu,relu,softmax,sigmoid,relu,adam,categorical_crossentropy,0.519132673740387
512,512,8,256,128,128,512,256,tanh,tanh,relu,relu,relu,tanh,softmax,tanh,rmsprop,categorical_crossentropy,0.49773886799812317
8,16,64,64,32,256,128,32,sigmoid,tanh,tanh,tanh,relu,tanh,tanh,relu,adam,categorical_crossentropy,0.4653293192386627
64,64,128,256,16,128,256,64,tanh,tanh,relu,relu,relu,softmax,sigmoid,relu,adam,categorical_crossentropy,0.4944921135902405
512,64,512,128,64,32,8,512,softmax,softmax,tanh,sigmoid,softmax,sigmoid,sigmoid,tanh,sgd,binary_crossentropy,0.044816792011260986
16,8,16,256,64,8,512,512,tanh,sigmoid,softmax,tanh,sigmoid,relu,softmax,sigmoid,sgd,binary_crossentropy,0.09537337720394135
8,8,16,256,8,128,16,256,softmax,softmax,softmax,tanh,relu,sigmoid,softmax,tanh,adam,categorical_crossentropy,0.4495013952255249
512,128,256,64,128,512,512,64,tanh,softmax,sigmoid,sigmoid,relu,sigmoid,relu,relu,rmsprop,categorical_crossentropy,0.510783851146698
8,256,8,256,8,512,256,512,tanh,relu,relu,relu,sigmoid,tanh,sigmoid,tanh,adam,binary_crossentropy,0.5098562240600586
64,512,512,128,32,32,16,64,softmax,sigmoid,sigmoid,relu,sigmoid,sigmoid,tanh,tanh,adam,categorical_crossentropy,0.4495013952255249
8,256,256,512,8,256,512,64,tanh,sigmoid,sigmoid,sigmoid,sigmoid,softmax,tanh,tanh,adam,categorical_crossentropy,0.4495013952255249
512,32,512,128,256,64,256,256,tanh,sigmoid,sigmoid,relu,softmax,sigmoid,relu,softmax,adam,categorical_crossentropy,0.4495013952255249
8,32,32,16,8,128,256,32,relu,relu,tanh,sigmoid,tanh,relu,tanh,tanh,rmsprop,categorical_crossentropy,0.5186688303947449
64,64,128,256,16,128,16,64,tanh,tanh,tanh,relu,relu,softmax,sigmoid,relu,adam,categorical_crossentropy,0.4495013952255249
64,512,512,128,32,32,16,64,tanh,sigmoid,sigmoid,relu,sigmoid,sigmoid,tanh,tanh,adam,binary_crossentropy,0.4495013952255249
64,128,8,256,32,512,128,32,relu,tanh,softmax,relu,tanh,relu,relu,softmax,rmsprop,categorical_crossentropy,0.044816792011260986
256,16,32,128,8,16,32,256,tanh,relu,softmax,sigmoid,tanh,relu,softmax,relu,adam,binary_crossentropy,0.4495013952255249
256,8,32,8,64,512,256,128,sigmoid,relu,tanh,sigmoid,softmax,relu,softmax,relu,rmsprop,categorical_crossentropy,0.4495013952255249
128,128,32,256,256,64,512,256,sigmoid,tanh,relu,sigmoid,relu,tanh,softmax,relu,rmsprop,categorical_crossentropy,0.35093924403190613
8,256,128,64,32,16,256,512,softmax,sigmoid,relu,tanh,sigmoid,relu,relu,relu,rmsprop,categorical_crossentropy,0.5202922224998474
256,32,64,8,128,64,256,16,sigmoid,softmax,sigmoid,sigmoid,sigmoid,tanh,tanh,softmax,adam,categorical_crossentropy,0.35093924403190613
8,256,8,256,8,512,256,512,softmax,relu,relu,relu,sigmoid,sigmoid,sigmoid,tanh,adam,binary_crossentropy,0.4495013952255249
8,8,256,8,8,512,128,16,tanh,sigmoid,tanh,sigmoid,sigmoid,tanh,relu,softmax,adam,binary_crossentropy,0.4495013952255249
256,16,128,8,256,16,256,512,relu,sigmoid,relu,sigmoid,softmax,softmax,tanh,sigmoid,adam,binary_crossentropy,0.4495013952255249
128,16,64,8,32,8,64,256,softmax,relu,softmax,sigmoid,relu,sigmoid,relu,relu,adam,categorical_crossentropy,0.4495013952255249
64,512,512,128,32,32,16,64,tanh,sigmoid,sigmoid,relu,sigmoid,sigmoid,tanh,tanh,adam,binary_crossentropy,0.4495013952255249
64,64,64,512,512,16,16,256,softmax,sigmoid,softmax,tanh,sigmoid,relu,tanh,softmax,sgd,binary_crossentropy,0.09537337720394135
256,8,64,256,256,128,32,256,tanh,sigmoid,sigmoid,relu,relu,tanh,relu,tanh,rmsprop,binary_crossentropy,0.4681702256202698
16,512,32,512,128,128,512,512,tanh,sigmoid,softmax,softmax,sigmoid,relu,relu,sigmoid,sgd,categorical_crossentropy,0.35093924403190613
8,256,128,64,32,16,256,512,softmax,tanh,relu,tanh,sigmoid,relu,relu,relu,rmsprop,categorical_crossentropy,0.45019713044166565
512,128,256,512,16,32,128,256,tanh,relu,softmax,softmax,sigmoid,softmax,softmax,relu,adam,categorical_crossentropy,0.4495013952255249
64,64,128,256,16,128,256,64,tanh,tanh,tanh,relu,relu,softmax,sigmoid,tanh,adam,categorical_crossentropy,0.5133928656578064
16,512,128,128,16,16,32,16,relu,softmax,relu,relu,tanh,sigmoid,tanh,relu,rmsprop,binary_crossentropy,0.4495013952255249
128,128,8,256,16,64,128,16,tanh,tanh,softmax,relu,tanh,relu,softmax,relu,sgd,binary_crossentropy,0.039076995104551315
8,32,512,128,128,16,32,64,sigmoid,relu,sigmoid,softmax,relu,tanh,relu,tanh,adam,categorical_crossentropy,0.4495013952255249
16,512,32,512,128,128,512,512,tanh,tanh,softmax,softmax,sigmoid,relu,relu,sigmoid,sgd,categorical_crossentropy,0.4495013952255249
256,256,8,256,64,64,8,256,relu,relu,tanh,sigmoid,tanh,tanh,sigmoid,sigmoid,sgd,binary_crossentropy,0.35093924403190613
256,32,64,8,128,8,256,16,sigmoid,softmax,sigmoid,sigmoid,sigmoid,sigmoid,tanh,softmax,adam,categorical_crossentropy,0.35093924403190613
32,32,16,128,128,32,512,64,softmax,sigmoid,tanh,sigmoid,sigmoid,tanh,softmax,softmax,sgd,categorical_crossentropy,0.044816792011260986
64,256,512,8,32,256,32,256,tanh,sigmoid,relu,sigmoid,tanh,relu,softmax,sigmoid,rmsprop,binary_crossentropy,0.35093924403190613
256,16,128,128,128,512,64,256,tanh,relu,relu,sigmoid,relu,softmax,relu,tanh,rmsprop,categorical_crossentropy,0.5113056302070618
64,32,128,8,32,64,512,256,tanh,softmax,sigmoid,tanh,tanh,softmax,tanh,tanh,adam,categorical_crossentropy,0.4930426776409149
32,16,8,128,128,16,8,64,softmax,relu,softmax,tanh,softmax,sigmoid,sigmoid,relu,rmsprop,categorical_crossentropy,0.4495013952255249
128,32,256,512,8,64,64,16,softmax,softmax,softmax,tanh,sigmoid,tanh,softmax,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
512,8,64,256,64,8,512,512,tanh,sigmoid,softmax,tanh,sigmoid,relu,softmax,sigmoid,sgd,binary_crossentropy,0.09537337720394135
512,32,16,128,64,8,64,512,relu,tanh,softmax,softmax,softmax,softmax,softmax,sigmoid,rmsprop,binary_crossentropy,0.35093924403190613
256,16,32,8,8,16,32,128,tanh,relu,softmax,sigmoid,tanh,relu,softmax,relu,adam,binary_crossentropy,0.4495013952255249
64,64,16,128,64,16,32,64,tanh,softmax,tanh,tanh,tanh,tanh,sigmoid,relu,rmsprop,binary_crossentropy,0.5038265585899353
256,8,64,512,256,128,32,256,tanh,sigmoid,sigmoid,relu,relu,tanh,relu,tanh,rmsprop,binary_crossentropy,0.47147494554519653
256,256,8,256,64,8,8,256,relu,relu,tanh,sigmoid,tanh,tanh,sigmoid,sigmoid,sgd,binary_crossentropy,0.044816792011260986
512,64,16,128,512,16,8,128,relu,sigmoid,relu,sigmoid,softmax,sigmoid,sigmoid,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
64,8,128,16,256,128,128,256,tanh,relu,relu,softmax,softmax,softmax,tanh,sigmoid,adam,binary_crossentropy,0.4495013952255249
256,16,32,128,8,16,32,128,tanh,relu,softmax,sigmoid,tanh,relu,softmax,relu,adam,categorical_crossentropy,0.35093924403190613
16,512,32,512,128,128,512,512,tanh,tanh,softmax,softmax,sigmoid,relu,relu,sigmoid,sgd,binary_crossentropy,0.4495013952255249
8,256,32,256,8,512,256,512,softmax,relu,relu,relu,sigmoid,tanh,sigmoid,tanh,adam,binary_crossentropy,0.521799623966217
256,8,8,8,64,512,256,256,sigmoid,relu,tanh,sigmoid,softmax,relu,softmax,relu,rmsprop,categorical_crossentropy,0.4495013952255249
64,8,16,8,64,16,32,64,tanh,softmax,tanh,tanh,tanh,tanh,sigmoid,relu,rmsprop,binary_crossentropy,0.4495013952255249
512,64,8,8,64,64,256,64,softmax,tanh,tanh,softmax,sigmoid,softmax,sigmoid,tanh,sgd,binary_crossentropy,0.044816792011260986
256,8,64,512,256,128,512,256,tanh,sigmoid,sigmoid,relu,relu,tanh,relu,tanh,rmsprop,binary_crossentropy,0.4721127152442932
128,128,32,256,256,64,32,256,sigmoid,tanh,relu,sigmoid,relu,tanh,softmax,relu,rmsprop,categorical_crossentropy,0.4495013952255249
64,256,16,8,32,256,32,256,tanh,sigmoid,relu,sigmoid,sigmoid,relu,softmax,sigmoid,rmsprop,binary_crossentropy,0.35093924403190613
32,32,256,512,8,64,64,16,softmax,softmax,softmax,tanh,tanh,tanh,softmax,sigmoid,rmsprop,binary_crossentropy,0.4495013952255249
512,128,256,512,16,32,128,256,sigmoid,relu,softmax,softmax,sigmoid,softmax,softmax,tanh,adam,categorical_crossentropy,0.4495013952255249
